38,Paradise - Come On,Paradise_-_Come_On.mp3,electronic,true,1,2022-08-06 17:31:03.000000 +00:00,true,1830
39,VANLAV - Tomorrow,VANLAV_-_Tomorrow.mp3,electronic,true,1,2022-08-06 17:31:34.000000 +00:00,true,1875
40,"TheFatRat, Slaydit, Anjulie - Stronger","TheFatRat,_Slaydit,_Anjulie_-_Stronger.mp3",electronic,true,1,2022-08-06 17:31:03.000000 +00:00,true,1925
41,Two Steps From Hell - Strength of a Thousand Men (OST к игре Mass Effect 3),Two_Steps_From_Hell_-_Strength_of_a_Thousand_Men_(OST_к_игре_Mass_Effect_3).mp3,electronic,true,1,2022-08-06 17:31:34.000000 +00:00,true,1991
42,Halestorm - Amen,Halestorm_-_Amen.mp3,rock,false,1,2022-08-06 09:35:25.000000 +00:00,true,2016
43,Ummet Ozcan - Seesaw,Ummet_Ozcan_-_Seesaw.mp3,electronic,true,1,2022-08-06 17:31:34.000000 +00:00,true,2016
44,Eluveitie - The Call of the Mountains,Eluveitie_-_The_Call_of_the_Mountains.mp3,rock,false,1,2022-08-06 09:30:49.000000 +00:00,true,2030
45,Bon Jovi - Its My Life,Bon_Jovi_-_Its_My_Life.mp3,rock,true,1,2022-08-06 17:24:07.000000 +00:00,true,2042
46,Sum 41 - No Reason,Sum_41_-_No_Reason.mp3,rock,false,1,2022-06-19 03:35:12.000000 +00:00,true,2050
47,TheFatRat - Xenogenesis,TheFatRat_-_Xenogenesis.mp3,electronic,true,1,2022-08-06 17:31:03.000000 +00:00,true,2118
48,Nightwish - Over the Hills and Far Away,Nightwish_-_Over_the_Hills_and_Far_Away.mp3,rock,true,1,2022-08-06 17:24:07.000000 +00:00,true,2185
49,Hallmore - Unbroken,Hallmore_-_Unbroken.mp3,electronic,true,1,2022-08-06 17:27:50.000000 +00:00,true,2195
50,Yiruma - River Flows In You,Yiruma_-_River_Flows_In_You.mp3,classic,true,1,2022-08-06 17:40:54.000000 +00:00,true,2305
51,System Of A Down - Hypnotize,System_Of_A_Down_-_Hypnotize.mp3,rock,false,1,2022-08-06 10:01:03.000000 +00:00,true,2314
52,Evanescence - My Immortal (Acoustic Version),Evanescence_-_My_Immortal_(Acoustic_Version).mp3,rock,true,1,2022-06-19 03:35:12.000000 +00:00,true,2323
53,Imagine Dragons - Believer,Imagine_Dragons_-_Believer.mp3,rock,true,1,2022-08-06 17:24:07.000000 +00:00,true,2345
54,Amadeus - Euphoria,Amadeus_-_Euphoria.mp3,electronic,true,1,2022-08-06 10:33:03.000000 +00:00,true,2384
55,The Rasmus - In the shadow,The_Rasmus_-_In_the_shadow.mp3,rock,false,1,2022-08-06 10:05:13.000000 +00:00,true,2391
56,Eluveitie - Luxtos,Eluveitie_-_Luxtos.mp3,rock,false,1,2022-08-06 09:30:49.000000 +00:00,true,2511
57,Adelitas Way - Dirty Little Thing,Adelitas_Way_-_Dirty_Little_Thing.mp3,rock,false,1,2022-08-06 10:21:46.000000 +00:00,true,2611
58,OMFG - Yeah,OMFG_-_Yeah.mp3,electronic,true,1,2022-08-06 17:31:03.000000 +00:00,true,2612
59,Klaas - Feel Only Love (feat. Mister Ruiz),Klaas_-_Feel_Only_Love_(feat._Mister_Ruiz).mp3,electronic,true,1,2022-08-06 17:27:51.000000 +00:00,true,2640
60,OMFG - Ice Cream,OMFG_-_Ice_Cream.mp3,electronic,true,1,2022-08-06 17:31:03.000000 +00:00,true,2682
61,Skillet - Rise,Skillet_-_Rise.mp3,rock,true,1,2022-08-06 17:24:07.000000 +00:00,true,2725
62,TheFatRat Everen Maxwell - Warbringer feat Lindsey Stirling Chapter 7,TheFatRat_Everen_Maxwell_-_Warbringer_feat_Lindsey_Stirling_Chapter_7.mp3,electronic,true,1,2022-08-06 17:31:03.000000 +00:00,true,2779
63,BEAUZ - Little Do You Know (feat. Jessie Villa),BEAUZ_-_Little_Do_You_Know_(feat._Jessie_Villa).mp3,electronic,true,1,2022-08-06 17:27:50.000000 +00:00,true,2845
64,OMFG - Everybody,OMFG_-_Everybody.mp3,electronic,true,1,2022-08-06 17:31:03.000000 +00:00,true,3014
65,Zomboy - Lone Wolf,Zomboy_-_Lone_Wolf.mp3,electronic,true,1,2022-08-06 17:31:34.000000 +00:00,true,3049
66,Mangoo & Dimatik - EURODANCER 2020,Mangoo_&_Dimatik_-_EURODANCER_2020.mp3,electronic,true,1,2022-08-06 17:31:03.000000 +00:00,true,3151
