32,Мумия возвращается,"<p class=""gp"">Прошло десять лет... Наш отважный герой, искатель приключений Рик О'Конелл, теперь богат, счастливо женат на прекрасной Эвелин и воспитывает своего восьмилетнего сына Алекса.</p>
<p class=""gp"">Но злой рок не дает очаровательной семье О'Конеллов насладиться спокойной жизнью. Зловещий жрец Имхотеп снова восстал из мертвых! Теперь у Рика, Эвелин и малютки Алекса есть всего семь дней, чтобы спасти мир...</p>",180002,"{""image"": ""The_Mummy_Returns.webp"", ""movie"": ""The_Mummy_Returns_1080p.mp4"", ""poster"": ""The_Mummy_Returns_1080p_poster.jpg"", ""movieEng"": null}",adventures,1,2022-08-06 02:36:47.000000 +00:00,true
33,Меч короля Артура,"<p class=""gp"">Молодой Артур живёт на задворках Лондиниума вместе со своей бандой. Он и понятия не имел о собственном королевском происхождении, пока однажды не взял в руки меч Экскалибур. Меч начинает менять Артура. В результате он присоединяется к сопротивлению и таинственной молодой девушке по имени Гвиневра. Ему предстоит научиться понимать магическое оружие, которым он овладел, преодолеть себя и объединить народ в борьбе против диктатора Вортигерна, убившего его родителей и завладевшего короной.</p>",190001,"{""image"": ""King_Arthur_Legend_of_the_Sword.webp"", ""movie"": ""King_Arthur_Legend_of_the_Sword_1080p.mp4"", ""poster"": ""King_Arthur_Legend_of_the_Sword_1080p_poster.jpg"", ""movieEng"": ""King_Arthur_Legend_of_the_Sword_1080p_ENG.mp4""}",adventures,1,2022-08-12 21:36:16.000000 +00:00,true
8,Послезавтра,"<p class=""gp"">Земля уверенно движется навстречу глобальной экологической катастрофе: в одной части света все живое погибает от засухи, в другой - разбушевавшаяся водная стихия сносит города.</p>
<p class=""gp"">Близость катастрофы вынуждает ученого-климатолога, пытающегося найти способ остановить глобальное потепление, отправиться на поиски пропавшего сына в Нью-Йорк, в котором наступил новый ледниковый период…</p>",40001,"{""image"": ""The_Day_After_Tomorrow_1080p.webp"", ""movie"": ""The_Day_After_Tomorrow_1080p.mp4"", ""poster"": ""The_Day_After_Tomorrow_1080p_poster.jpg"", ""movieEng"": null}",fantastic,1,2022-08-03 00:46:57.000000 +00:00,true
34,Tomb Raider: Лара Крофт,"<p class=""gp"">Лара Крофт – весьма самостоятельная дочь эксцентричного искателя приключений, который пропал, едва она стала подростком. Теперь ей двадцать один, она бесцельно проживает свою жизнь, курьером рассекая на байке по забитым улицам восточного Лондона. Решительно настроенная пробиться сама, она отказывается брать на себя руководство глобальной империей отца, столь же категорично отвергая мысль о том, что он действительно пропал. Слыша советы о том, что ей нужно смириться с этим фактом и жить дальше после семи лет бесплодных поисков, Лара уже и сама не понимает, что же заставляет ее распутывать обстоятельства его таинственного исчезновения.</p>",200001,"{""image"": ""Tomb_Raider.webp"", ""movie"": ""Tomb_Raider_1080p.mp4"", ""poster"": ""Tomb_Raider_1080p_poster.jpg"", ""movieEng"": ""Tomb_Raider_1080p_ENG.mp4""}",adventures,2,2022-08-06 20:12:41.000000 +00:00,true
36,Живая сталь,"<p class=""gp"">События фильма происходят в будущем, где бокс запрещен за негуманностью и заменен боями 2000-фунтовых роботов, управляемых людьми. Бывший боксер, а теперь промоутер, переметнувшийся в Робобокс, решает, что наконец нашел своего чемпиона, когда ему попадается выбракованный, но очень способный робот. Одновременно на жизненном пути героя возникает 11-летний парень, оказывающийся его сыном. И по мере того, как машина пробивает свой путь к вершине, обретшие друг друга отец и сын учатся дружить.</p>",220001,"{""image"": ""Real_Steel.webp"", ""movie"": ""Real_Steel_1080p.mp4"", ""poster"": ""Real_Steel_1080p_poster.jpg"", ""movieEng"": ""Real_Steel_1080p_ENG.mp4""}",adventures,2,2022-08-30 00:58:36.971000 +00:00,true
37,Крепкий орешек 4.0,"<p class=""gp"">Мир снова под угрозой: террористы захватили контроль над глобальной компьютерной сетью. Повсюду воцаряется хаос, правительство и спецслужбы бессильны. Джон МакКлейн давно в отставке, но он не будет стоять в стороне, когда надо защищать семью. Однако в этот раз ему уже не справиться без помощника.</p>",230001,"{""image"": ""Live_Free_or_Die_Hard.webp"", ""movie"": ""Live_Free_or_Die_Hard_1080p.mp4"", ""poster"": ""Live_Free_or_Die_Hard_1080p_poster.jpg"", ""movieEng"": null}",adventures,2,2022-08-30 01:08:44.345000 +00:00,true
38, Анчартед: На картах не значится,"<p class=""gp"">Нейтан Дрейк не видел старшего брата Сэма 15 лет, с тех пор как тот сбежал из сиротского приюта. Парень работает барменом и промышляет мелким воровством, когда на него выходит Виктор Салливан по прозвищу Салли и предлагает отправиться на поиски давно потерянных сокровищ Магеллана. Узнав, что Салли знаком с Сэмом, Нейтан соглашается на авантюру, надеясь также отыскать и брата.</p>",240001,"{""image"": ""Uncharted.webp"", ""movie"": ""Uncharted_1080p.mp4"", ""poster"": ""Uncharted_1080p_poster.jpg"", ""movieEng"": ""Uncharted_1080p_ENG.mp4""}",adventures,2,2022-11-06 15:53:41.000000 +00:00,true
1,Человек-муравей и Оса,"<p class=""gp"">Скотт Лэнг, известный также как Человек-муравей, уже заслужил право оказаться в команде Мстителей. Но желание быть ближе к дочери удерживает его в родном Сан-Франциско – до тех пор, пока доктор Хэнк Пим, создавший когда-то изменяющий размеры своего владельца чудо-костюм, не призывает Скотта присоединиться к новой опасной миссии. А помогать в противостоянии с коварным врагом Человеку-муравью будет новая напарница – Оса.</p>",10002,"{""image"": ""Ant-man_and_Wasp.webp"", ""movie"": ""Ant-man_and_Wasp.mp4"", ""poster"": ""Ant-man_and_Wasp_poster.jpg"", ""movieEng"": null}",fantastic,1,2021-11-09 00:00:00.000000 +00:00,true
9,Геошторм,"<p class=""gp"">После беспрецедентной серии стихийных бедствий, обрушившихся на нашу планету, лидеры мировых держав объединили усилия, чтобы создать разветвленную сеть орбитальных спутников по контролю над климатом для предотвращения природных катаклизмов. Но что-то пошло не так – система, выстроенная для защиты Земли, теперь угрожает ей. Начинается гонка наперегонки со временем, в которой надо успеть обнаружить реальную угрозу до того, как всемирный Геошторм сотрёт с лица Земли всё живое.</p>",50001,"{""image"": ""Geostorm_1080p.webp"", ""movie"": ""Geostorm_1080p.mp4"", ""poster"": ""Geostorm_1080p_poster.jpg"", ""movieEng"": ""Geostorm_1080p_ENG.mp4""}",fantastic,1,2022-08-05 21:34:26.000000 +00:00,true
10,Варкрафт,"<p class=""gp"">Веками магия и неприступные стены защищали людей от любых напастей. Но древнее зло, побежденное и забытое тысячелетия назад, пробудилось.</p>
<p class=""gp"">В самом сердце королевства открылся темный портал, и раса невиданных существ наводнила земли Азерота. Так начались события, призванные навсегда изменить судьбу этого мира.</p>",60001,"{""image"": ""Warcraft.webp"", ""movie"": ""Warcraft_1080p.mp4"", ""poster"": ""Warcraft_1080p_poster.jpg"", ""movieEng"": ""Warcraft_720p_ENG.mp4""}",fantastic,1,2022-08-05 22:16:04.000000 +00:00,true
12,Морской бой,"<p class=""gp"">Мы посылаем сигналы в космос и ждем ответа. Но уверены ли мы, что хотим его получить? Что если пришельцы потенциально опасны? В 2009 году на конференции в Вашингтоне астронавт Эдгар Митчелл, побывавший на Луне, сделал сенсационное заявление о существовании внеземной жизни. Теперь мы знаем, контакт не просто возможен, он неизбежен!</p>",80001,"{""image"": ""Battleship.webp"", ""movie"": ""Battleship_1080p.mp4"", ""poster"": ""Battleship_1080p_poster.jpg"", ""movieEng"": null}",fantastic,1,2022-08-05 22:32:01.000000 +00:00,true
13,Гарри Поттер и философский камень ,"<p class=""gp"">Жизнь десятилетнего Гарри Поттера нельзя назвать сладкой: родители умерли, едва ему исполнился год, а от дяди и тёти, взявших сироту на воспитание, достаются лишь тычки да подзатыльники. Но в одиннадцатый день рождения Гарри всё меняется. Странный гость, неожиданно появившийся на пороге, приносит письмо, из которого мальчик узнаёт, что на самом деле он - волшебник и зачислен в школу магии под названием Хогвартс. А уже через пару недель Гарри будет мчаться в поезде Хогвартс-экспресс навстречу новой жизни, где его ждут невероятные приключения, верные друзья и самое главное — ключ к разгадке тайны смерти его родителей.</p>",90001,"{""image"": ""Harry_Potter_and_the_Sorcerer's_Stone.webp"", ""movie"": ""Harry_Potter_and_the_Sorcerer's_Stone_1080p.mp4"", ""poster"": ""Harry_Potter_and_the_Sorcerer's_Stone_1080p_poster.jpg"", ""movieEng"": null}",fantastic,1,2022-08-05 22:38:40.000000 +00:00,true
14,Гарри Поттер и Тайная комната,"<p class=""gp"">Гарри Поттер переходит на второй курс Школы чародейства и волшебства Хогвартс. Эльф Добби предупреждает Гарри об опасности, которая поджидает его там, и просит больше не возвращаться в школу.</p>
<p class=""gp"">Юный волшебник не следует совету эльфа и становится свидетелем таинственных событий, разворачивающихся в Хогвартсе. Вскоре Гарри и его друзья узнают о существовании Тайной Комнаты и сталкиваются с новыми приключениями, пытаясь победить темные силы.</p>",90002,"{""image"": ""Harry_Potter_and_the_Chamber_of_Secrets.webp"", ""movie"": ""Harry_Potter_and_the_Chamber_of_Secrets_1080p.mp4"", ""poster"": ""Harry_Potter_and_the_Chamber_of_Secrets_1080p_poster.jpg"", ""movieEng"": null}",fantastic,1,2022-08-05 22:48:14.000000 +00:00,true
15,Гарри Поттер и узник Азкабана,"<p class=""gp"">В третьей части истории о юном волшебнике полюбившиеся всем герои — Гарри Поттер, Рон и Гермиона — возвращаются уже на третий курс школы чародейства и волшебства Хогвартс. На этот раз они должны раскрыть тайну узника, сбежавшего из зловещей тюрьмы Азкабан, чье пребывание на воле создает для Гарри смертельную опасность...</p>",90003,"{""image"": ""Harry_Potter_and_the_Prisoner_of_Azkaban.webp"", ""movie"": ""Harry_Potter_and_the_Prisoner_of_Azkaban_1080p.mp4"", ""poster"": ""Harry_Potter_and_the_Prisoner_of_Azkaban_1080p_poster.jpg"", ""movieEng"": null}",fantastic,1,2022-08-05 22:55:00.000000 +00:00,true
16,Гарри Поттер и Кубок огня,"<p class=""gp"">Гарри Поттер, Рон и Гермиона возвращаются на четвёртый курс школы чародейства и волшебства Хогвартс. При таинственных обстоятельствах Гарри был отобран в число участников опасного соревнования — Турнира Трёх Волшебников, однако проблема в том, что все его соперники — намного старше и сильнее.</p>
<p class=""gp"">К тому же, знаки указывают на возвращение Лорда Волдеморта. Вскоре Гарри предстоит побороться не только за победу в соревновании, но и, прежде всего, за свою жизнь.</p>",90004,"{""image"": ""Harry_Potter_and_the_Goblet_of_Fire.webp"", ""movie"": ""Harry_Potter_and_the_Goblet_of_Fire_1080p.mp4"", ""poster"": ""Harry_Potter_and_the_Goblet_of_Fire_1080p_poster.jpg"", ""movieEng"": null}",fantastic,1,2022-08-05 22:55:48.000000 +00:00,true
17,Гарри Поттер и Орден Феникса,"<p class=""gp"">Гарри проводит свой пятый год в школе Хогвартс и обнаруживает, что многие из членов волшебного сообщества отрицают факт недавнего состязания юного волшебника с воплощением вселенского зла Волдемортом. Все делают вид, что не имеют ни малейшего представления о том, что злодей вернулся. Однако впереди волшебников ждет необычная схватка.</p>",90005,"{""image"": ""Harry_Potter_and_the_Order_of_the_Phoenix.webp"", ""movie"": ""Harry_Potter_and_the_Order_of_the_Phoenix_1080p.mp4"", ""poster"": ""Harry_Potter_and_the_Order_of_the_Phoenix_1080p_poster.jpg"", ""movieEng"": null}",fantastic,1,2022-08-05 23:05:06.000000 +00:00,true
